HK情報の内容と観測要素の関係
要素, HK番号, HK内容, データの有効／無効, 備考
雨, 1, 雨量計ヒータ異常, 有効
雨, 2, 雨量計接点不良, 無効 
雨, 3, 雨量計電源断, 無効 
雨, 4, 感雨器電源断, 無効, 感雨を欠測とする。
雨, 5, 雨量自己診断, 有効 
雨, 6, 雨量計ヒータON/OFF, 有効, ON:0 OFF:1 
風, 1, 風向電源断, 無効, 風向を欠測とする。 
風, 2, 風速電源断, 無効, 風速を欠測とする。
風, 3, 風向ビット飛び警告情報, 有効 
風, 4, 風向自己診断, 有効 
風, 5, 風速自己診断, 有効 
気温, 1, 通風筒電源断, 無効 
気温, 2, 温度自己診断, 有効 
日照, 1, 日照計1電源断, 無効 
日照, 2, 日照計2電源断, 無効
日照, 3, 日照計1ヒータ動作異常, 有効 
日照, 4, 日照計2ヒータ動作異常, 有効 
日照, 5, 日照計1通信不良, 無効 
日照, 6, 日照計2通信不良, 無効 
日照, 7, 日照自己診断, 有効 
積雪, 1, 積雪計電源断, 無効 
積雪, 2, 積雪計通信不良, 無効 
積雪, 3, 人体検知器異常, 無効 
積雪, 4, 雪面計測不良, 無効
積雪, 5, 積雪計自己診断, 有効
湿度, 1, 通風筒電源断, 無効
湿度, 2, 湿度計電源断, 無効
湿度, 3, 湿度計通信不良, 無効
湿度, 4, 湿度計自己診断, 有効
気圧, 1, 気圧計電源断, 無効
気圧, 2, 気圧計通信不良, 無効
気圧, 3, 気圧計自己診断, 有効
視程, 1, 視程計電源断, 無効
視程, 2, 視程計ヒータ動作不良, 無効
視程, 3, 視程計ハードウェアエラー, 無効
視程, 4, 視程計通信不良, 有効
日射, 1, 全天日射計1電源断, 無効
日射, 2, 全天日射計2電源断, 無効
日射, 3, 全天日射計1ヒータ動作不良, 無効
日射, 4, 全天日射計2ヒータ動作不良, 無効
日射, 5, 全天日射計1通信不良, 有効
日射, 6, 全天日射計2通信不良, 有効
日射, 7, 全天日射自己診断, 有効
装置, 1, 商用電源断, 有効
装置, 2, 電源部ヒューズ断, 有効
装置, 3, 外部提供直流電源1電圧降下, 有効
装置, 4, 外部提供直流電源2電圧降下, 有効
装置, 5, 外部提供直流電源3電圧降下, 有効
装置, 6, 外部提供直流電源4電圧降下, 有効
装置, 7, 外部提供直流電源5電圧降下, 有効
装置, 8, バッテリ電圧降下, 有効
装置, 9, 変換部間通信異常, 無効, 全要素欠測とする。

補足：
(1) HK番号は数字の大きいものを上位ビットとしている。例えば、雨量計について、雨量計接点不良かつ雨量計ヒーターOFFの場合は、100010となり、数字は34になる。
(2) -1は欠測をあらわす。
